sentence,acceptable
Суд внимательно разбирает кажду жалобу.,1
"Они приняли во внимание слухи, что Аня предаст Катю.",1
"Потом пожалел, что не взял собаки.",1
Я нигде не встречал такого безразличия.,1
"Кого ты хочешь, чтобы он пригласил?",1
Но Коле не помог его единоверец.,1
"В болотистой почве содержится мало кислорода и питательных веществ, необходимых растениям.",1
В комнате кто-то имеется.,0
"Среди домов, построившихся на этой улице, было несколько многоэтажных.",0
Каждый человек поступил бы так при подобных обстоятельствах.,1
Частые припадки его болезни сделали из него совсем почти идиота.,1
Он даже не поздоровался.,1
Чудовища оказались каждое на своем месте.,1
Тебе не нужно постричься?,1
Я имею книгу в руке.,0
Я опять потерял нить.,1
Настасья Петровна давно собиралась погостить к знакомым в город.,1
"Был еще Брутенц и киевский секретарь обкома, не помню фамилии, его жена и другие.",1
"Тут рядом с нами есть деревушка Глебово, вот туда мы и будем ходить, там такие хорошие горки.",1
Трудно ничего не делать.,1
"Она видится с кем-то из них, но очень редко.",1
Мальчики оказались каждый на своем месте.,1
Брат надеется на поступление в университет.,1
Он выпил стакан вина.,1
Уличных звуков не доносится сквозь двойные рамы.,0
"Она сидела в первом ряду, а рядом с ней сидел какой-то высокий молодой человек.",1
"Это был клёст-сосновик, с перьями кирпичного и клюквенного цвета, с клювом, скрещенным, как два кривых костяных ножа.",1
Новый проект не удивил нас какими-либо интересными деталями.,1
"Вспоминаю выступление фронтовой концертной бригады, состоящее из артистов Мурманского драмтеатра.",0
"Он всегда говорил очень убедительно, а у меня возникали некоторые сомнения.",1
"Когда ты позвонил, я не читал твоей статьи.",0
Он сидел в театре около Бори и все время толкал его в бок.,1
"Ты достаточно взрослая, чтобы разумная все понимать.",0
Он мне только казался.,1
Вода наполняет бассейн до краев.,1
"Лавиния берет трость в зубы и начинает писать, поддерживая ее остатками рук.",1
Он посещает полдюжины тюрем.,0
"Он думает, я его испугался.",1
"Разбрелись по каруселям, балаганам, качелям, слушают песни цыган, пляски, сами пляшут, купаются в реке.",1
"Я считаю, что Маша очень мила.",1
Чиновник росчерком пера позволил им стать миллионерами.,1
Конференция состоится в Москве на факультете лингвистики.,1
Я хочу посоветоваться с кем-нибудь из хороших врачей.,1
Она неправильно приняла это известие.,0
Он получает много заказов.,1
Ночь опускается на город и скрыла его во мраке.,0
Цветущая рожь всегда напоминает мне о войне.,1
"Он решал, но не решил.",1
Я принял его за военного.,1
"Судьбе великого математика Джона Нэша посвящен фильм «Игры разума», основанный на фактах биографии учёного.",1
"Люди громко кричали свои лозунги у дворца, и царь вышел на это к толпе.",0
Он строил мосты через Волгу.,1
"Ну скажи, что он собой представляет?",1
"Что он глуп, известно.",1
Завтра я буду принимать дела.,1
"У меня мама на пенсии, а у Нины она работает.",0
Из Дураццо продолжается бегство миридитов.,1
"Мария боится, что ее балбес опять получил двойку.",1
Коты по чердаку бегают.,1
Этот в был очень тяжелым.,0
"Трудно не пытаться сделать что-нибудь, когда ты понимаешь, что от этого зависит вся твоя жизнь.",1
Вам самой не справиться.,1
"К группе читавших подошел исхудалый, давно не мывшийся и оттого казавшийся смуглым человек одичалого вида с котомкой за плечами и палкой.",1
Раньше к нему заходили товарищи.,1
Близ кресла на небольшом коврике лежала кошка.,0
Иванов присутствовал на лекции.,1
"Они миновали полосу белого опасного моха, потом полосу красного опасного моха, снова началось мокрое болото с неподвижной густой водой.",1
Письмо обрывалось на полуслове.,1
"Он не такой человек, который женился, тем самым огорчив свою мать.",1
"Отвечая на экзаменационный вопрос, студент сказал: «Большой вклад в нашу устойчивость к болезням вносила эволюция самих возбудителей, направленных на минимизацию вреда хозяину».",0
"Соломон Волков хочет насильно выпустить книгу о Бродском, а тот грозит ему судом.",1
И в те времена такие вещи ценились.,1
Так я и пошел!,1
У меня есть доказательства его невинности.,1
Ты открывал это окно?,1
Они объясняют свой отказ цензурными соображениями.,1
"К кому ты не знаешь, как обратиться?",1
Что сегодня получил Саша?,1
Теперь предстояло быть сплавленному на Землю совету насчет манных клецек.,1
Мы сейчас проехали Аникеевку.,1
"Пьер не отвечал ему и коротко спросил, будет ли принято его предложение.",1
Им судьбой назначено любить друг друга.,1
"Гость молчал, и хозяин тоже молчал.",1
"Чтобы заметить это явление, нужна полная тишина.",1
"Хороший был слесарь, любые замки открывал.",1
"Новая группа, состоящая из талантливых музыкантов и исполнителей, быстро завоевали любовь публики.",0
Иван пошел не на концерт.,1
Она берет теорию гранулярного пламени.,0
"Ты тогда сказала, что наверное уезжаешь в Италию.",1
"Артём очень любит своего четвероногого друга, появившегося в его жизни столь загадочным образом, и позаботится о нём.",0
Стаканы будут поставлены в шкаф.,1
"Она села в самый дальний угол, я ее заметил совершенно случайно.",1
Я не смог уговорить никого из них.,1
Он снял с верхней полки чемодан и поставил его на пол.,1
Здесь мы столкнулись с совершенно новой проблемой.,1
"Ну, я смотрю на часы ― начало десятого.",1
Звуков с улицы не доносится.,1
"Российские педагоги проводят ежегодно профессиональные конкурсы, во время которых делились друг с другом накопленным опытом работы.",0
Кто что сегодня купил?,1
Кто-нибудь находил мои очки?,1
"Все, кто видел работу гончара, поражался его удивительному мастерству.",0
Вы пришли очень вовремя.,1
Мощный водопад в окружении гор представлял собой величественное зрелище.,1
В географическом смысле Малая земля не существует.,1
Эти студенты — сами специалисты в эскимосском языке.,1
Здесь есть прехорошенькие женщины.,1
"Господа, поверьте, что я постараюсь быть достойным той чести, которую мне делает Раиса Павловна, избирая меня своим супругом.",1
"Тетка помогла устроиться шофером к одному важному человеку, но важного человека вскоре убили бандиты, и тогда Азат решил уехать насовсем.",1
"Директор попросил учителей прислать отчеты к восьми вечера и умолял, чтобы они не наделали ошибок.",0
"Писатель придавал большое значение делу декабристов, выражая уверенность, что оно будет продолжено потомками, пожелающих увидеть Россию свободной.",0
Ты зачем чужое взяла?,1
Он очень ненавязчиво висит внизу экрана и не привлекает внимание руководства.,1
Нельзя ни с кем не общаться.,1
Точно я не могу сейчас вспомнить.,1
Общезаводской распорядок дня не существовал.,1
"Весь год я была толстой, а потом похудела.",0
"Он пришел 8 сентября, и приход мальчика был печален.",1
Она была в стороне от каких-либо интриг.,1
Ее темные глаза сияли.,1
"К чужому горю он разучился относиться сочувственно ― он просто его не понимает, не хочет понимать.",1
"Можно подумать, что ты этим довольна.",1
Вечно ты его выгораживаешь!,1
"Перед началом наступления ему нужно было поговорить с Фабием, одним понимавшим, как надо воевать с Ганнибалом.",0
"Приверженцы фэншуй верят, то что можно создать гармонию в жизненном пространстве, управляя потоками энергии.",0
Публика приняла эту пьесу с восторгом.,1
Она одевается со вкусом.,1
Я живу рядом с метро «Юго-Западная».,1
"Сходя на берег в очередной гавани, меня удивили способности местных проводить время в расслабленно-созерцательной позиции.",0
Они попели песни у костров.,1
Колодец уж конечно вырыли вблизи дома председателя.,0
С этого времени и до моего приезда в Шанхай мы жили втроем в одной комнате.,1
"Последний указ, как я утверждаю, скоро отменят.",0
"Каждому времени нужен как свой летописец в области исторических событий, так и быта и уклада.",0
"После окончания школы, он принял решение пойти работать на завод, и задумался: ""Пойти на завод кем?""",0
"Когда Запад идет налево, мы вечно идем по дрова, в двух тысячи шестой раз демонстрируя человечеству свои особенные стати.",0
Ты взяла мне одну бутылку молока или две?,1
Современная молодежь для физического самосовершенствования выбирают фитнесцентры по месту.,0
Девушка ничего не ответила и продолжала читать книгу с каменным выражением лица.,1
Он отдал ей свое сердце.,1
"Мы долго спорили над книгами, написанных известным телеведущим.",0
"На деле же то, что выступает под оболочкой «аппаратного» конфликта, есть конфликт более глубокий ― социальный, классовый, идейный.",1
Эта порода тигров встречается на Дальнем Востоке.,1
Единственным утешением и отрадой Алёны были облегчавшие слёзы её измученное сердце.,0
"Вася сказал, что у него кое-что для меня есть.",1
Дело приняло неожиданный оборот.,1
"Два примуса ревели на плите, у них стояли две женщины и переругивались.",0
Отдай мне эту книг.,1
Вы здесь не стояли.,1
Мы пойдем до него.,1
Весь день я простоял около станка.,0
"Иван не знает, что занятия отменяются.",1
Рыба не весит двух килограмм.,1
"А вот та комната, которую я ищу.",1
В результате социологического опроса был выявлен рейтинг покупательского спроса.,1
"Френель взял, что упругость остается неизменной.",0
"Когда мы с Максимом ходим в универмаг, он всегда теряется.",1
Диссертация отвечает требованиям ВАК.,1
Сосняк начинался молодой рощицей искусственной посадки.,1
Он отдал крестьянам землю.,1
"Так ведь и я тебя тоже люблю, — за то и боль приняла.",1
"Ученик не врет, что читал что-либо.",0
"Люди вы свои, и мне жалко, коли вы пропадете ни за что.",1
"Зато продавцы, мальчишки с тележками, какие-то сомнительные личности, что-то доверительно шепчущие и зазывно жестикулирующие, буквально не дают прохода.",1
"Появится кто-то совершенно новый, неведомый, порожденный нынешней ситуацией, ни на что ожидаемое не похожий.",1
"Иван Андреевич внимательно осмотрелся и идёт прямо к столу, о котором только что говорили свидетели.",0
"Если бы быть честным, я был бы за то, чтобы Гетце играл по центру.",0
"Сомневаюсь, чтобы не выданные Жанне деньги возвратились в казну.",1
Изредка она взглядывала на кого-нибудь из нас.,1
Я отдал книгу Ивану газету.,0
Я с удовольствием с ним говорил.,1
Вход в пещеру завалили камни.,1
Я сейчас писал письмо.,1
В городе никого не найти.,1
Эти вопросы глубоко и всесторонне не были продуманы.,1
Он видит в этом препятствие.,1
"Солнце светило поверх холмов путникам в лицо, будто не желая пропускать их в долину.",1
"Все, бывало, с ней через забор разговариваю и под конец, чтобы недалеко было ходить, сделал в заборе калиточку.",1
Ты получил белье в прачечной?,1
"Я не могу бежать, у меня есть чемодан.",0
В горах гибнут беженцы.,1
"Одним из упрямцев, умевшими отстоять своё мнение перед преподавателем, был Дельвиг.",0
В чем они сознались?,1
Директор принимает по средам.,1
Требуется справка с места работы.,1
"Нефтяные загрязнения являются угрозой всему живому в Мировом океане, возникающие при транспортировке нефти.",0
"Завтра, когда счастливая невеста войдет в дом моего отца, маленькая, злая княжна Нина будет уже за несколько десятков верст от дома!",1
Наши знакомые нам на пляже не встретились.,1
"У котов, шнырявших возле веранды, был утренний вид.",1
Для проведения этих исследований он получил целый институт.,1
"Подъездная дверь хлопнула, сзади раздался топот ног, короткие смешки и шумное дыхание от быстрой ходьбы.",1
"Ничего, выходи, пока не поздно.",1
Всю ответственность я принимаю на себя.,1
У меня вчера было совещание.,1
Король Хуссейн не выбрал преемником Хасана.,0
"Я принял предложение, брат а отказался.",0
"Вообще-то он в комнате, но сейчас он вышел.",0
Напоминание себе об опасности прозвучало вовремя.,0
На тёмной листве блестели дождевые капли.,1
"Я хочу, чтобы ты вернешься а я уйду.",0
Весь он как будто воздушный и стоит более шестиста лет.,0
"Погода, ей казалось, была плохая.",1
В поселке не есть врач.,0
Никакая катастрофа не произойдет.,1
"Я был поражен, какая она оказалась хитрая.",1
Все они что-нибудь делали.,1
"Получив письмо от Маши, перед Гриневым возникла трудная задача.",0
В понедельник в Москве хоронили известных программиста и журналиста Владимира Сухомлина.,0
"Начинает он суетиться, начинает говорить без умолку, покрикивает на Аленку, разводит возле сторожки большой яркий костер.",1
Здесь часто кто-нибудь занимается.,1
Искусственные алмазы лучше поддаются ювелирной обработке из-за отсутствия природных примесей и прочной кристаллической структуры.,0
"И мы просто встали рядом, прикрываясь руками от света, и, напряженно улыбаясь, стали смотреть на катер.",1
Я обрадовался его приходу.,1
Он имеет порок сердца.,0
На каждой дорожке бегало по спортсмену.,0
"Поднимаясь вдоль горного склона, температура воздуха понижается, и содержащаяся в нём влага на высоте более двух километров начинает конденсироваться, образуя облако.",0
Я требую тебе заплатить долг.,0
Мне его няня передала.,1
Афанасьевна и Софья стояли невдалеке и слушали.,0
У него дача уже три года.,1
"Ну ладно, Витька, иди, занимайся!",1
"Ваня, в отличие от других, не понял.",1
"Не только гуманитарные науки привлекали Павла: с не меньшим жаром он отдавался математике, астрономии, химии, минералогии.",1
Моя дочь тщательно не оделась.,0
"Лауреат и дипломант многих театральных фестивалей, народный театр-студия решил обновить репертуар и в ближайшее время пригласит зрителей на премьеру спектакля.",1
Иван взял с собой плащ или куртку.,1
"Меня так же мало радует твой выигрыш, как огорчает проигрыш; меня огорчает только твоя несчастная страсть к игре.",1
Около села Покров наша машина вдруг испортилась.,1
Решено: пойдет кто-то один.,1
Инфекция ослабляет сопротивляемость организма и повышает риск нового заболевания.,1
Он не прислал ответ.,1
Капитан подтвердил приказ рано утром выйти в море.,1
"Но я считаю нелишним сохранить его здесь в том виде, как он был рассказан мне Владимиром Галактионовичем 24 июня 1910 года.",1
"Он инженер, чтобы иметь под старость хорошую пенсию.",0
Разбуженный Алёша грохотом грома потом долго не мог заснуть.,0
"После того, как Шлезвиг-Голштейн был отторгнут от Дании, между Австрией и Пруссией возник конфликт.",1
"Петербургский период в творчестве А.С. Пушкина не только характеризуется большей стилистической свободой, но и ломкой жанровых границ.",0
"Еще большее, настоящее представление о путешествии получила от поездки всей семьи в 1906 году в Берлин.",1
Петя так и в Москве.,0
"Дорогие друзья, я сразу же напоминаю номер нашего пейджера...",1
Век подходил к концу.,1
"Замечательным русским поэтом, тонко чувствующий природу, является С. А.Есенин.",0
Существует несколько способов отличить бриллиант от его синтезированного аналога.,1
"А под интеллигентностью разумеют не честность и порядочность, а умение есть ножом вилкой.",0
Этот сильно был очень тяжелым.,0
Я нипочему не приехала.,0
"Я пошел на берег, но отца не было на море.",1
Он берет уроки русского языка.,1
Сведений о продвижении войск не поступало.,1
"Каждый раз смешно до него, когда он делает такое лицо.",0
А ты живи с нами до смерти в пастушьем колхозе.,1
Сообщение не взволновало Марию.,1
"Когда я завтра приду в институт, я поговорю об этом с кем угодно.",0
Я дал ему деньги.,1
"Я не хочу, чтобы так.",0
Елка не касается потолка.,1
Настина мама гораздо красивее Аниной мамы и Настиного папы.,1
"Новые катера и водометы-толкачи гудят коротко, высоко и гнусаво.",1
"В Тарутине Кутузов получил почти выговор от государя за то, что он отвел армию на Рязанскую дорогу.",1
"В конце XVII столетия науке стало известно о существовании необычного млекопитающего, откладывающем яйца и насиживающем их: это был утконос.",0
С ним же там жил брат-учитель.,1
Иван передает Вам привет.,1
Вагоны шли привычной линией.,1
"Он сумел это сделать быстрее, чем кто-либо ожидал.",1
"Следователь, мягко говоря, вводит сенаторов в заблуждение.",1
Никто его видел?,0
"И испанский, и португальский похожи.",0
"Знаете, лучше с ним не связываться.",1
В этом интервью президент Буш подтвердил свою верность идеалам демократии.,1
Потом дорога входит в леВскоре она выходит к реке.,1
"У нас есть лозунг ""За здорового советского старика!""",1
Я не разбил чашку.,1
Путники невольно залюбовались появившейся радугой на небе после дождя.,0
У него все было готово для жизни вдали от дома.,1
"Но Шухов не стал прямо просить, а остановился совсем рядом с Цезарем и вполоборота глядел мимо него.",1
Он резко не затормозил.,0
"Он сказал, что нет.",0
"Как облако в небе, белые хлопья вдруг сливаются воедино, и перед вами ее фигурка.",1
"Студентам, самим хорошо знающим эскимосский язык, не разобрать здесь ни слова.",1
В своем “Синтаксисе” Пешковский обсуждает проблему залога.,1
"Вдруг она, по счастью, увидала мальчика на противоположном тротуаре.",1
Ты обязан за нее заплатить.,1
Я не выключала плиту.,1
"Когда он делает что-то, он делает это тщательно.",1
"Лечебные учреждения региона оказывают их, руководствуясь правилами, утвержденными областным управлением здравоохранения, а документ этот, мягко говоря, несовершенен.",1
В детстве особенно важно научиться любить природу и понять её красоту и тайну.,0
Знакомство с «Сатириконом» несомненно отразилось на исторической концепции повести.,1
Наблюдается спад интереса к беллетристике.,1
Мировые события 1939 года нарушают всю жизнь.,1
"Удар получился таким сильным, что она больно отбила себе руку, а банка треснула, и из нее в глаза черноволосому брызнул острый кетчуп.",1
Разве мосты еще не сняли?,1
Она была в стороне от всяких интриг.,1
"Я сказал, чтобы Верочка шла домой.",1
Обсерватория открывала памятник Воейкову.,1
Его не было дома два дня.,1
"Не только победители, но и все те, кто просто участвовал в олимпиаде, получил грамоту и памятный приз.",0
Расплата с Андреем Антоновичем началась немедленно.,1
"Обвинив во всем сотрудников, он одного уволил, а другому объявил выговор.",1
Этот портрет здесь никогда раньше не висел.,1
Здесь мы сразу натолкнулись на препятствие.,1
Не существует каких-либо доказательств.,1
"Маша вчера сказала, что приедет на следующий день.",1
Он женат на женщине.,0
Я покупаю себе компьютер.,1
Последние пять человек пришли.,1
Хочу поговорить с ними с обоими.,1
Пакет содержит ценные документы.,1
"Надо всем стоял, как гора, роковой и неразрешимый вопрос: чем кончится у отца с братом Дмитрием пред этою страшною женщиной?",1
Я не потерял надежды.,1
Поезд отправлялся в 5 часов.,1
"Но время идёт, а пожара всё нет и нет.",1
"Я не принимаю его за крупного ученого, хотя и знаю, что это так.",0
У каждого входа им было поставлено по часовому.,1
"Старостин, давно предполагал, что обе семьи языков родственны, и в конце концов он; доказал это.",1
"Пересшила она это платьишко, отделала его кое-где кружевцами, и чудесное платьице вышло.",0
Никто обвинял не христиан и не русских.,0
"Значит, мы с тобой уславливались?",0
Он покупает три журнала.,1
Я увидел уверенного в себе человека.,1
"Новые катеры и водометы-толкачи гудят коротко, высоко и гнусаво.",0
"Если бы кто-нибудь из них уехал, мы бы об этом знали.",1
Поодаль от тополя стояла Даша и смотрела на него.,0
"Вот честное слово, жалко, что каждый раз ему выступать первому перед, если можно так выразиться, неразогретым залом.",1
"Ну, что же, если хотите жить на свободе, идите, я дам вам волю.",1
"Мальчик-реалист с остановившимися глазами и испуганным выражением лица, не спуская глаз, смотрел на старика.",1
"Ты приходишь, чтобы тебе заплатили пятьсот тысяч.",1
У нас фамилии и имена начинались с одной буквы.,1
У нее седые волосы.,1
"Избирая меня депутатом, я сделаю для вас всё возможное.",0
Где-то за спиной раздался воинственный клич атамана и дробный цокот копыт.,1
"Дук решил, что надо наказать Анджело за его жестокость.",1
"Иван Иваныч протяжно вздохнул и закурил трубочку, чтобы начать рассказывать, но как раз в это время пошёл дождь.",1
"Публицистический стиль— разновидность литературного языка: один книжных стилей речи, использующийся в сфере политики, общественной, экономической и культурной жизни общества, в средствах массовой информации.",1
"Дома, в котором я родился, больше нет.",1
По окончанию гимназии Фонвизин стал учиться на философском факультете университета.,0
"Как всегда, Блока пленили, казалось бы, случайные и даже посторонние черты пейзажа, которые он был мастер подмечать и которые приобретали для него особую выразительность.",1
Никаких российских самолетов воздушное пространство Грузии не нарушало.,0
Здесь всегда холодно.,1
На город за время войны не упало ни одной бомбы.,1
Вы уже дали отчет?,0
"Необходимо добавить, что на поэта иностранец с первых же слов произвел отвратительное впечатление.",1
"Дети, как я боюсь, не спят.",0
Все элементы должны составлять единое гармоничное целое и соответствовать вашему идейному замыслу.,1
Частная коллекция — предмет гордости её обладателя.,1
Легенда заменила настоящую правду.,1
"Согласно плану операции, мне было поручено уничтожить засевшего снайпера на дереве.",0
Он снял шляпу с гвоздя.,1
Ни один студент не был на лекции.,1
"Он прекрасно помнил, как советовался с Эдвином Кантором и получил его разрешение приобрести эти бумаги на свой личный счет.",1
Генерал не разрешает секретарше позволить дворнику называть себя Валей.,1
Ответ еще не пришел.,1
В понедельник он не возвращался из отпуска.,0
"Если что-то будет найдено при повторном обыске, она ответственность не несет.",1
"Думаю, что и я потерял в тебе самое дорогое, что имел в жизни.",1
Полковник отдал майору приказ солдатам выдвигаться на позицию.,1
"Иван, когда я поступил в институт, очень обрадовался.",1
"И в подтверждение того, что она — Красавка, лошадь медленно по вернулась в нашу сторону.",1
Никогда до этих пор я не слышал от него таких безнадежно-отчаянных стихов.,1
"Мальчик мечтал о том, чтобы увидеть какого-нибудь слона.",0
"Я всегда получаю удовольствие, когда читаю его работы.",1
"Рискуя жизнью, железнодорожники защищали пассажира от вооруженных бандитов.",1
"Рискуя увечьем, он защитил женщину от хулигана.",1
Я не воспринимаю этой музыки.,1
"Я наблюдал за группой ребят, подошедшими к остановке, и заметил среди них знакомую.",0
"Вера Корнильевна вышла и увидела, что близ большой лестницы вытя нулся долговязый мужчина.",1
Это о голову соседа супруга тарелки бьет.,1
"Он вдруг понял, что ей неприятны какие бы то ни было подробности его домашней жизни.",1
Эта штука сэкономит тебе массу времени.,1
"Хорошо, если ты станешь кандидатом наук.",1
"На пруду, которого поверхность виднелась сквозь аллеи, заливались лягушки.",1
Дружное нападение нашего войска решило исход дела.,1
"Вообще-то я сейчас работаю над проектом, но сегодня я решил немного отвлечься.",1
"День был дождливый, а Коля не взял зонт.",1
"Забытые воспоминания можно вернуть, если активировать клетки, отвечающие за доступ к хранящейся информации в мозге.",0
"Гость вошел в калитку, находившуюся около входа в лавку, и попал в квадратный небольшой дворик.",0
В тот день он сидел дома ровно в шесть.,0
"Говоря, например, о картине Александра Иванова «Явление Христа народу», он восхищается ею прежде всего как народной картиной, начисто отвергая какие-либо мистико-религиозные ее толкования.",0
"Брат сидел рядом со мной, а муж — сзади.",1
Ради этого можно рискнуть здоровьем.,1
"У меня была возможность все видеть, сам оставаясь незамеченным.",0
"Он всегда сжигает письма, а не жжет.",1
"Ты думай о том, как мы здесь сидим, пьем чай, смотрим на небо, на землю, и нам хорошо.",1
Мне видится это так.,1
Дома возникли из тумана.,1
"Что касается моих сцен, моей игры, то я, увидев свои промахи и недостатки, очень расстроился.",1
Термическая обработка дает металлам исключительную твердость.,1
"Хотя в квартире, конечно, побывали, никакого мага там не оказалось.",1
За кого Вы собственно меня принимаете?,1
Хутор находится вдали от леса.,0
"Книги, которые сгорели, не сгорели.",1
Среднее сословие с восторгом приняло заявление правительства об отмене торговых ограничений.,1
"И такие люди более, чем когда-нибудь нужны.",1
"Обвинив во всем сотрудников, он одного сотрудника уволил, а другому сотруднику объявил выговор.",1
Лодку поцарапало своим якорем.,0
Я воспринимаю его как героя.,1
"Люблю, когда люди рады, особенно люблю, когда я помогаю им быть радыми, вот.",1
Объяснение Анны Карениной с мужем произошло после скачек.,1
Я надеюсь только на чудо.,1
"Если я никого не записал, скажите.",1
С кем Петя пришел?,1
"Что-то издали мелькает, словно волк бежит.",1
Задавал ли он тебе какие-либо каверзные вопросы?,1
"Во время ремонта пришлось не только менять все окна, но и межкомнатные двери.",0
Туда идти было неподалеку.,0
"Отличие нового способа укладки пола от ранее известных кажется на первый взгляд несущественным, но значительно облегчает работу.",1
"Подобно тому как можешь не замечать глупость красивой женщины, так можешь не заметить великолепия глупого мужчины.",1
Они все часто у меня бывали.,1
"Я за сырки выбивала, а они кончились.",1
Новых пассажиров в купе не появилось.,1
"Я думаю, что он здесь был.",1
"Не мешай, я вижу по телевизору ""Галатею"".",0
"Перейдя мостик, усмотрен мною без всяких признаков жизни повесившийся труп мертвого человека.",0
"Это, но никто не отозвался.",0
"Он, правда, не очень умен, ноу него есть упорство, которое поможет ему многого добиться.",1
"Главные лица и соучастники сразу же метнулись в сторону, и вся вина легла на одного Климова.",1
"Мультик рассказывает, что надо быть готовому ко всему, выбрать свой путь жизни.",1
Я разбирал одно похожее дело в прошлом году.,1
"Наклонись ко мне, я тебе кое-что скажу.",1
После этого они начали громко разговаривать.,1
Он нашел по крайней мере двух желающих.,1
"Скажи, а нельзя постараться, чтобы Сухой Рыбак не обидел Вани?",0
Я беру карту и заворачиваю ее в платок.,1
